SOATO	NAME	OBL	RAION	SOVET	TIP	GNI	DATAV	SOATON	DATEL	MAL
1204555000	Городище	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский		гп	202	27.09.2002			3
1204755001	Арабовщина	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	аг.	202	27.09.2002			2
1204755006	Болтичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755011	Бриксичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755016	Великое Село	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755021	Гарановичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755026	Грибовщина	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755031	Душковцы	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755036	Зеленая	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755041	Кисели	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755046	Колдычево	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755051	Конюшовщина	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755056	Микуличи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755061	Мостытычи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755066	Насейки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755071	Новоселки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755076	Омневичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755081	Поручин	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755086	Пруды	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755091	Станкевичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204755096	Ясенец	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	202	27.09.2002			
1204804011	Великие Луки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804016	Грабовец	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804021	Кабушкина	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	п.	202	27.09.2002			
1204804026	Копани	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804031	Крыжики	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804041	Малые Луки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804046	Новые Луки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204804051	Русино	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	аг.	202	27.09.2002			2
1204804056	Яново	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Великолукский	д.	202	27.09.2002			
1204807006	Бартники	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807011	Верхнее Чернихово	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807016	Вольно	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	аг.	202	27.09.2002			2
1204807021	Голынка	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807026	Задвея	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807031	Залесье	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807036	Лихосельцы	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807041	Нагорное	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	03.04.2007			
1204807046	Нижнее Чернихово	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807051	Озерец	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807056	Рабковичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807061	Россошь	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	х.	202	27.09.2002			
1204807066	Савичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807071	Тишковцы	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204807076	Чернихово	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Вольновский	д.	202	27.09.2002			
1204811006	Богуши	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	д.	202	27.09.2002			
1204811011	Гирмантовцы	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	аг.	202	27.09.2002			2
1204811016	Жабинцы	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	д.	202	27.09.2002			
1204811021	Железница	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	д.	202	27.09.2002			
1204811026	Ковши	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	д.	202	27.09.2002			
